"organization_name","site_name","zone_name","monitor_point_name","date","dow","fiscal week #","fiscal month","fiscal year","traffic","currency","comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"01/01/2021","Vie","1","Jan","2021","227","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"02/01/2021","Sáb","1","Jan","2021","298","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"03/01/2021","Dom","2","Jan","2021","331","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"04/01/2021","Lun","2","Jan","2021","3338","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"05/01/2021","Mar","2","Jan","2021","3192","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"06/01/2021","Mie","2","Jan","2021","3298","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"07/01/2021","Jue","2","Jan","2021","3066","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"08/01/2021","Vie","2","Jan","2021","3797","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"09/01/2021","Sáb","2","Jan","2021","235","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"10/01/2021","Dom","3","Jan","2021","255","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"11/01/2021","Lun","3","Jan","2021","2961","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"12/01/2021","Mar","3","Jan","2021","3293","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"13/01/2021","Mie","3","Jan","2021","2942","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"14/01/2021","Jue","3","Jan","2021","3725","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"15/01/2021","Vie","3","Jan","2021","4676","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"16/01/2021","Sáb","3","Jan","2021","633","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"17/01/2021","Dom","4","Jan","2021","293","NONE","Comp"
"Alta Plaza Mall, Panama","Alta Plaza Mall",,,"18/01/2021","Lun","4","Jan","2021","3853","NONE","Comp"
